Sexo	Provincias	Edad	Periodo	Total
Mujeres	48 Bizkaia	77 años	2029	6.072,862840
Mujeres	48 Bizkaia	77 años	2028	6.481,906551
Mujeres	48 Bizkaia	77 años	2027	6.495,465405
Mujeres	48 Bizkaia	77 años	2026	6.742,480435
Mujeres	48 Bizkaia	77 años	2025	6.178,841595
Mujeres	48 Bizkaia	77 años	2024	6.149,356721
Mujeres	48 Bizkaia	77 años	2023	6.488,677043
Mujeres	48 Bizkaia	77 años	2022	6.155,885345
Mujeres	48 Bizkaia	78 años	2037	7.549,406010
Mujeres	48 Bizkaia	78 años	2036	7.490,867766
Mujeres	48 Bizkaia	78 años	2035	7.040,660708
Mujeres	48 Bizkaia	78 años	2034	6.816,462664
Mujeres	48 Bizkaia	78 años	2033	6.502,953461
Mujeres	48 Bizkaia	78 años	2032	6.518,826236
Mujeres	48 Bizkaia	78 años	2031	6.482,366612
Mujeres	48 Bizkaia	78 años	2030	5.971,251666
Mujeres	48 Bizkaia	78 años	2029	6.370,760596
Mujeres	48 Bizkaia	78 años	2028	6.384,087716
Mujeres	48 Bizkaia	78 años	2027	6.627,365709
Mujeres	48 Bizkaia	78 años	2026	6.072,924589
Mujeres	48 Bizkaia	78 años	2025	6.044,140338
Mujeres	48 Bizkaia	78 años	2024	6.376,190731
Mujeres	48 Bizkaia	78 años	2023	6.040,508323
Mujeres	48 Bizkaia	78 años	2022	5.878,783501
Mujeres	48 Bizkaia	79 años	2037	7.350,190609
Mujeres	48 Bizkaia	79 años	2036	6.907,338802
Mujeres	48 Bizkaia	79 años	2035	6.686,718043
Mujeres	48 Bizkaia	79 años	2034	6.378,012783
Mujeres	48 Bizkaia	79 años	2033	6.393,719733
Mujeres	48 Bizkaia	79 años	2032	6.356,658226
Mujeres	48 Bizkaia	79 años	2031	5.855,557529
Mujeres	48 Bizkaia	79 años	2030	6.244,392286
Mujeres	48 Bizkaia	79 años	2029	6.257,315021
Mujeres	48 Bizkaia	79 años	2028	6.495,829317
Mujeres	48 Bizkaia	79 años	2027	5.951,751072
Mujeres	48 Bizkaia	79 años	2026	5.923,264357
Mujeres	48 Bizkaia	79 años	2025	6.247,127606
Mujeres	48 Bizkaia	79 años	2024	5.916,946174
Mujeres	48 Bizkaia	79 años	2023	5.755,976933
Mujeres	48 Bizkaia	79 años	2022	4.919,650376
Mujeres	48 Bizkaia	80 años	2037	6.757,632461
Mujeres	48 Bizkaia	80 años	2036	6.541,208081
Mujeres	48 Bizkaia	80 años	2035	6.238,192211
Mujeres	48 Bizkaia	80 años	2034	6.253,539291
Mujeres	48 Bizkaia	80 años	2033	6.216,105438
Mujeres	48 Bizkaia	80 años	2032	5.726,166603
Mujeres	48 Bizkaia	80 años	2031	6.103,496354
Mujeres	48 Bizkaia	80 años	2030	6.116,098344
Mujeres	48 Bizkaia	80 años	2029	6.349,156009
Mujeres	48 Bizkaia	80 años	2028	5.816,794510
Mujeres	48 Bizkaia	80 años	2027	5.788,488169
Mujeres	48 Bizkaia	80 años	2026	6.103,634205
Mujeres	48 Bizkaia	80 años	2025	5.779,841307
Mujeres	48 Bizkaia	80 años	2024	5.622,366058
Mujeres	48 Bizkaia	80 años	2023	4.799,695737
Mujeres	48 Bizkaia	80 años	2022	4.748,161111
Mujeres	48 Bizkaia	81 años	2037	6.376,118676
Mujeres	48 Bizkaia	81 años	2036	6.079,690524
Mujeres	48 Bizkaia	81 años	2035	6.094,369523
Mujeres	48 Bizkaia	81 años	2034	6.056,620604
Mujeres	48 Bizkaia	81 años	2033	5.579,161944
Mujeres	48 Bizkaia	81 años	2032	5.943,683942
Mujeres	48 Bizkaia	81 años	2031	5.955,866879
Mujeres	48 Bizkaia	81 años	2030	6.182,426226
Mujeres	48 Bizkaia	81 años	2029	5.663,347974
Mujeres	48 Bizkaia	81 años	2028	5.634,964567
Mujeres	48 Bizkaia	81 años	2027	5.940,369583
Mujeres	48 Bizkaia	81 años	2026	5.623,893225
Mujeres	48 Bizkaia	81 años	2025	5.470,320868
Mujeres	48 Bizkaia	81 años	2024	4.669,042386
Mujeres	48 Bizkaia	81 años	2023	4.608,838275
Mujeres	48 Bizkaia	81 años	2022	5.053,540528
Mujeres	48 Bizkaia	82 años	2037	5.903,442939
Mujeres	48 Bizkaia	82 años	2036	5.917,105130
Mujeres	48 Bizkaia	82 años	2035	5.879,010330
Mujeres	48 Bizkaia	82 años	2034	5.415,204046
Mujeres	48 Bizkaia	82 años	2033	5.765,583914
Mujeres	48 Bizkaia	82 años	2032	5.777,135252
Mujeres	48 Bizkaia	82 años	2031	5.996,098327
Mujeres	48 Bizkaia	82 años	2030	5.491,734182
Mujeres	48 Bizkaia	82 años	2029	5.462,941782
Mujeres	48 Bizkaia	82 años	2028	5.757,475266
Mujeres	48 Bizkaia	82 años	2027	5.449,136372
Mujeres	48 Bizkaia	82 años	2026	5.299,749924
Mujeres	48 Bizkaia	82 años	2025	4.522,410302
Mujeres	48 Bizkaia	82 años	2024	4.462,376716
Mujeres	48 Bizkaia	82 años	2023	4.889,414885
Mujeres	48 Bizkaia	82 años	2022	3.733,565273
Mujeres	48 Bizkaia	83 años	2037	5.721,503275
Mujeres	48 Bizkaia	83 años	2036	5.683,083077
Mujeres	48 Bizkaia	83 años	2035	5.234,169842
Mujeres	48 Bizkaia	83 años	2034	5.569,130093
Mujeres	48 Bizkaia	83 años	2033	5.579,872115
Mujeres	48 Bizkaia	83 años	2032	5.790,212379
Mujeres	48 Bizkaia	83 años	2031	5.302,039388
Mujeres	48 Bizkaia	83 años	2030	5.272,581211
Mujeres	48 Bizkaia	83 años	2029	5.555,159885
Mujeres	48 Bizkaia	83 años	2028	5.255,829356
Mujeres	48 Bizkaia	83 años	2027	5.110,952826
Mujeres	48 Bizkaia	83 años	2026	4.360,080579
Mujeres	48 Bizkaia	83 años	2025	4.300,118557
Mujeres	48 Bizkaia	83 años	2024	4.711,769511
Mujeres	48 Bizkaia	83 años	2023	3.589,646939
Mujeres	48 Bizkaia	83 años	2022	3.975,755093
Mujeres	48 Bizkaia	84 años	2037	5.467,231426
Mujeres	48 Bizkaia	84 años	2036	5.034,557252
Mujeres	48 Bizkaia	84 años	2035	5.352,728351
Mujeres	48 Bizkaia	84 años	2034	5.362,422210
Mujeres	48 Bizkaia	84 años	2033	5.563,048230
Mujeres	48 Bizkaia	84 años	2032	5.092,644493
Mujeres	48 Bizkaia	84 años	2031	5.062,278768
Mujeres	48 Bizkaia	84 años	2030	5.331,679768
Mujeres	48 Bizkaia	84 años	2029	5.042,281349
Mujeres	48 Bizkaia	84 años	2028	4.902,245938
Mujeres	48 Bizkaia	84 años	2027	4.180,581957
Mujeres	48 Bizkaia	84 años	2026	4.120,601531
Mujeres	48 Bizkaia	84 años	2025	4.515,039038
Mujeres	48 Bizkaia	84 años	2024	3.437,688096
Mujeres	48 Bizkaia	84 años	2023	3.799,027821
Mujeres	48 Bizkaia	84 años	2022	4.309,549772
Mujeres	48 Bizkaia	85 años	2037	4.815,317036
Mujeres	48 Bizkaia	85 años	2036	5.115,289836
Mujeres	48 Bizkaia	85 años	2035	5.123,655833
Mujeres	48 Bizkaia	85 años	2034	5.313,434729
Mujeres	48 Bizkaia	85 años	2033	4.862,454569
Mujeres	48 Bizkaia	85 años	2032	4.830,967230
Mujeres	48 Bizkaia	85 años	2031	5.085,877933
Mujeres	48 Bizkaia	85 años	2030	4.807,383332
Mujeres	48 Bizkaia	85 años	2029	4.672,515175
Mujeres	48 Bizkaia	85 años	2028	3.982,951242
Mujeres	48 Bizkaia	85 años	2027	3.922,908009
Mujeres	48 Bizkaia	85 años	2026	4.298,151177
Mujeres	48 Bizkaia	85 años	2025	3.270,327207
Mujeres	48 Bizkaia	85 años	2024	3.612,095490
Mujeres	48 Bizkaia	85 años	2023	4.085,326128
Mujeres	48 Bizkaia	85 años	2022	4.869,732748
Mujeres	48 Bizkaia	86 años	2037	4.857,583055
Mujeres	48 Bizkaia	86 años	2036	4.864,356743
Mujeres	48 Bizkaia	86 años	2035	5.042,258595
Mujeres	48 Bizkaia	86 años	2034	4.612,325866
Mujeres	48 Bizkaia	86 años	2033	4.579,580650
Mujeres	48 Bizkaia	86 años	2032	4.818,780354
Mujeres	48 Bizkaia	86 años	2031	4.552,172992
Mujeres	48 Bizkaia	86 años	2030	4.422,796572
Mujeres	48 Bizkaia	86 años	2029	3.768,120495
Mujeres	48 Bizkaia	86 años	2028	3.708,062125
Mujeres	48 Bizkaia	86 años	2027	4.062,224520
Mujeres	48 Bizkaia	86 años	2026	3.088,464285
Mujeres	48 Bizkaia	86 años	2025	3.408,834229
Mujeres	48 Bizkaia	86 años	2024	3.852,068219
Mujeres	48 Bizkaia	86 años	2023	4.578,928993
Mujeres	48 Bizkaia	86 años	2022	4.148,328512
Mujeres	48 Bizkaia	87 años	2037	4.583,880275
Mujeres	48 Bizkaia	87 años	2036	4.748,823395
Mujeres	48 Bizkaia	87 años	2035	4.341,569033
Mujeres	48 Bizkaia	87 años	2034	4.307,414258
Mujeres	48 Bizkaia	87 años	2033	4.529,579550
Mujeres	48 Bizkaia	87 años	2032	4.275,839567
Mujeres	48 Bizkaia	87 años	2031	4.152,234015
Mujeres	48 Bizkaia	87 años	2030	3.535,297160
Mujeres	48 Bizkaia	87 años	2029	3.475,280644
Mujeres	48 Bizkaia	87 años	2028	3.806,313988
Mujeres	48 Bizkaia	87 años	2027	2.891,325516
Mujeres	48 Bizkaia	87 años	2026	3.188,391720
Mujeres	48 Bizkaia	87 años	2025	3.599,178565
Mujeres	48 Bizkaia	87 años	2024	4.273,776750
Mujeres	48 Bizkaia	87 años	2023	3.859,368529
Mujeres	48 Bizkaia	87 años	2022	4.082,376751
Mujeres	48 Bizkaia	88 años	2037	4.437,946192
Mujeres	48 Bizkaia	88 años	2036	4.054,800524
Mujeres	48 Bizkaia	88 años	2035	4.019,312043
Mujeres	48 Bizkaia	88 años	2034	4.223,603959
Mujeres	48 Bizkaia	88 años	2033	3.983,673254
Mujeres	48 Bizkaia	88 años	2032	3.866,190287
Mujeres	48 Bizkaia	88 años	2031	3.289,265272
Mujeres	48 Bizkaia	88 años	2030	3.229,562226
Mujeres	48 Bizkaia	88 años	2029	3.536,085064
Mujeres	48 Bizkaia	88 años	2028	2.683,404374
Mujeres	48 Bizkaia	88 años	2027	2.956,032040
Mujeres	48 Bizkaia	88 años	2026	3.332,911098
Mujeres	48 Bizkaia	88 años	2025	3.952,759392
Mujeres	48 Bizkaia	88 años	2024	3.567,380124
Mujeres	48 Bizkaia	88 años	2023	3.754,272350
Mujeres	48 Bizkaia	88 años	2022	3.838,595061
Mujeres	48 Bizkaia	89 años	2037	3.751,867245
Mujeres	48 Bizkaia	89 años	2036	3.715,083881
Mujeres	48 Bizkaia	89 años	2035	3.900,571515
Mujeres	48 Bizkaia	89 años	2034	3.675,346176
Mujeres	48 Bizkaia	89 años	2033	3.564,259876
Mujeres	48 Bizkaia	89 años	2032	3.029,610380
Mujeres	48 Bizkaia	89 años	2031	2.970,468997
Mujeres	48 Bizkaia	89 años	2030	3.250,936291
Mujeres	48 Bizkaia	89 años	2029	2.464,174341
Mujeres	48 Bizkaia	89 años	2028	2.711,145553
Mujeres	48 Bizkaia	89 años	2027	3.052,501744
Mujeres	48 Bizkaia	89 años	2026	3.614,891095
Mujeres	48 Bizkaia	89 años	2025	3.259,891603
Mujeres	48 Bizkaia	89 años	2024	3.425,238494
Mujeres	48 Bizkaia	89 años	2023	3.484,503412
Mujeres	48 Bizkaia	89 años	2022	3.545,135016
Mujeres	48 Bizkaia	90 años	2037	3.397,696706
Mujeres	48 Bizkaia	90 años	2036	3.563,716283
Mujeres	48 Bizkaia	90 años	2035	3.354,044454
Mujeres	48 Bizkaia	90 años	2034	3.249,656695
Mujeres	48 Bizkaia	90 años	2033	2.759,183216
Mujeres	48 Bizkaia	90 años	2032	2.700,976043
Mujeres	48 Bizkaia	90 años	2031	2.954,208063
Mujeres	48 Bizkaia	90 años	2030	2.236,271302
Mujeres	48 Bizkaia	90 años	2029	2.456,812922
Mujeres	48 Bizkaia	90 años	2028	2.761,621792
Mujeres	48 Bizkaia	90 años	2027	3.264,786695
Mujeres	48 Bizkaia	90 años	2026	2.941,242217
Mujeres	48 Bizkaia	90 años	2025	3.084,778900
Mujeres	48 Bizkaia	90 años	2024	3.133,532786
Mujeres	48 Bizkaia	90 años	2023	3.170,274615
Mujeres	48 Bizkaia	90 años	2022	2.984,200961
Mujeres	48 Bizkaia	91 años	2037	3.217,462833
Mujeres	48 Bizkaia	91 años	2036	3.024,044315
Mujeres	48 Bizkaia	91 años	2035	2.926,615645
Mujeres	48 Bizkaia	91 años	2034	2.481,668391
Mujeres	48 Bizkaia	91 años	2033	2.424,824115
Mujeres	48 Bizkaia	91 años	2032	2.650,047326
Mujeres	48 Bizkaia	91 años	2031	2.002,899827
Mujeres	48 Bizkaia	91 años	2030	2.196,671976
Mujeres	48 Bizkaia	91 años	2029	2.464,496088
Mujeres	48 Bizkaia	91 años	2028	2.907,620259
Mujeres	48 Bizkaia	91 años	2027	2.616,190606
Mujeres	48 Bizkaia	91 años	2026	2.738,046386
Mujeres	48 Bizkaia	91 años	2025	2.776,439177
Mujeres	48 Bizkaia	91 años	2024	2.803,447102
Mujeres	48 Bizkaia	91 años	2023	2.620,026224
Mujeres	48 Bizkaia	91 años	2022	2.558,849513
Mujeres	48 Bizkaia	92 años	2037	2.695,925714
Mujeres	48 Bizkaia	92 años	2036	2.605,800073
Mujeres	48 Bizkaia	92 años	2035	2.206,494561
Mujeres	48 Bizkaia	92 años	2034	2.151,673482
Mujeres	48 Bizkaia	92 años	2033	2.349,397462
Mujeres	48 Bizkaia	92 años	2032	1.772,675253
Mujeres	48 Bizkaia	92 años	2031	1.940,599326
Mujeres	48 Bizkaia	92 años	2030	2.172,724221
Mujeres	48 Bizkaia	92 años	2029	2.557,740477
Mujeres	48 Bizkaia	92 años	2028	2.298,174094
Mujeres	48 Bizkaia	92 años	2027	2.399,745826
Mujeres	48 Bizkaia	92 años	2026	2.428,765735
Mujeres	48 Bizkaia	92 años	2025	2.447,135497
Mujeres	48 Bizkaia	92 años	2024	2.281,706259
Mujeres	48 Bizkaia	92 años	2023	2.208,985434
Mujeres	48 Bizkaia	92 años	2022	2.058,091841
Mujeres	48 Bizkaia	93 años	2037	2.289,204256
Mujeres	48 Bizkaia	93 años	2036	1.935,309423
Mujeres	48 Bizkaia	93 años	2035	1.883,099876
Mujeres	48 Bizkaia	93 años	2034	2.053,927182
Mujeres	48 Bizkaia	93 años	2033	1.546,818884
Mujeres	48 Bizkaia	93 años	2032	1.689,894033
Mujeres	48 Bizkaia	93 años	2031	1.887,707498
Mujeres	48 Bizkaia	93 años	2030	2.216,748453
Mujeres	48 Bizkaia	93 años	2029	1.988,565837
Mujeres	48 Bizkaia	93 años	2028	2.071,231388
Mujeres	48 Bizkaia	93 años	2027	2.091,794284
Mujeres	48 Bizkaia	93 años	2026	2.102,544875
Mujeres	48 Bizkaia	93 años	2025	1.955,377748
Mujeres	48 Bizkaia	93 años	2024	1.889,213404
Mujeres	48 Bizkaia	93 años	2023	1.742,430083
Mujeres	48 Bizkaia	93 años	2022	1.654,520253
Mujeres	48 Bizkaia	94 años	2037	1.673,624510
Mujeres	48 Bizkaia	94 años	2036	1.624,625491
Mujeres	48 Bizkaia	94 años	2035	1.769,800851
Mujeres	48 Bizkaia	94 años	2034	1.330,104209
Mujeres	48 Bizkaia	94 años	2033	1.449,917344
Mujeres	48 Bizkaia	94 años	2032	1.615,615100
Mujeres	48 Bizkaia	94 años	2031	1.892,119433
Mujeres	48 Bizkaia	94 años	2030	1.694,254896
Mujeres	48 Bizkaia	94 años	2029	1.759,885787
Mujeres	48 Bizkaia	94 años	2028	1.773,180347
Mujeres	48 Bizkaia	94 años	2027	1.777,590406
Mujeres	48 Bizkaia	94 años	2026	1.648,591027
Mujeres	48 Bizkaia	94 años	2025	1.589,154501
Mujeres	48 Bizkaia	94 años	2024	1.461,466504
Mujeres	48 Bizkaia	94 años	2023	1.374,631598
Mujeres	48 Bizkaia	94 años	2022	1.350,115313
Mujeres	48 Bizkaia	95 años	2037	1.380,769126
Mujeres	48 Bizkaia	95 años	2036	1.502,051650
Mujeres	48 Bizkaia	95 años	2035	1.126,390300
Mujeres	48 Bizkaia	95 años	2034	1.224,969554
Mujeres	48 Bizkaia	95 años	2033	1.361,345976
Mujeres	48 Bizkaia	95 años	2032	1.589,739303
Mujeres	48 Bizkaia	95 años	2031	1.420,637820
Mujeres	48 Bizkaia	95 años	2030	1.471,425830
Mujeres	48 Bizkaia	95 años	2029	1.478,812958
Mujeres	48 Bizkaia	95 años	2028	1.478,304052
Mujeres	48 Bizkaia	95 años	2027	1.367,030786
Mujeres	48 Bizkaia	95 años	2026	1.314,436066
Mujeres	48 Bizkaia	95 años	2025	1.205,125827
Mujeres	48 Bizkaia	95 años	2024	1.130,315419
Mujeres	48 Bizkaia	95 años	2023	1.093,838902
Mujeres	48 Bizkaia	95 años	2022	1.022,799777
Mujeres	48 Bizkaia	96 años	2037	1.253,424912
Mujeres	48 Bizkaia	96 años	2036	937,697564
Mujeres	48 Bizkaia	96 años	2035	1.017,191227
Mujeres	48 Bizkaia	96 años	2034	1.127,216917
Mujeres	48 Bizkaia	96 años	2033	1.312,238629
Mujeres	48 Bizkaia	96 años	2032	1.170,025303
Mujeres	48 Bizkaia	96 años	2031	1.208,127243
Mujeres	48 Bizkaia	96 años	2030	1.210,882144
Mujeres	48 Bizkaia	96 años	2029	1.206,765962
Mujeres	48 Bizkaia	96 años	2028	1.112,463154
Mujeres	48 Bizkaia	96 años	2027	1.066,673405
Mujeres	48 Bizkaia	96 años	2026	974,750079
Mujeres	48 Bizkaia	96 años	2025	911,415137
Mujeres	48 Bizkaia	96 años	2024	878,563732
Mujeres	48 Bizkaia	96 años	2023	811,364474
Mujeres	48 Bizkaia	96 años	2022	792,048515
Mujeres	48 Bizkaia	97 años	2037	767,389571
Mujeres	48 Bizkaia	97 años	2036	830,249386
Mujeres	48 Bizkaia	97 años	2035	917,305228
Mujeres	48 Bizkaia	97 años	2034	1.064,386961
Mujeres	48 Bizkaia	97 años	2033	946,727864
Mujeres	48 Bizkaia	97 años	2032	974,428736
Mujeres	48 Bizkaia	97 años	2031	973,839820
Mujeres	48 Bizkaia	97 años	2030	967,404239
Mujeres	48 Bizkaia	97 años	2029	888,922140
Mujeres	48 Bizkaia	97 años	2028	849,759798
Mujeres	48 Bizkaia	97 años	2027	773,849310
Mujeres	48 Bizkaia	97 años	2026	721,193283
Mujeres	48 Bizkaia	97 años	2025	692,376212
Mujeres	48 Bizkaia	97 años	2024	637,284606
Mujeres	48 Bizkaia	97 años	2023	612,716419
Mujeres	48 Bizkaia	97 años	2022	569,367459
Mujeres	48 Bizkaia	98 años	2037	668,164648
Mujeres	48 Bizkaia	98 años	2036	736,087293
Mujeres	48 Bizkaia	98 años	2035	851,406660
Mujeres	48 Bizkaia	98 años	2034	755,483471
Mujeres	48 Bizkaia	98 años	2033	775,207854
Mujeres	48 Bizkaia	98 años	2032	772,598661
Mujeres	48 Bizkaia	98 años	2031	765,107391
Mujeres	48 Bizkaia	98 años	2030	700,872210
Mujeres	48 Bizkaia	98 años	2029	668,016716
Mujeres	48 Bizkaia	98 años	2028	606,327770
Mujeres	48 Bizkaia	98 años	2027	563,283473
Mujeres	48 Bizkaia	98 años	2026	538,685343
Mujeres	48 Bizkaia	98 años	2025	494,209248
Mujeres	48 Bizkaia	98 años	2024	473,397179
Mujeres	48 Bizkaia	98 años	2023	432,232103
Mujeres	48 Bizkaia	98 años	2022	359,328297
Mujeres	48 Bizkaia	99 años	2037	582,205577
Mujeres	48 Bizkaia	99 años	2036	671,384685
Mujeres	48 Bizkaia	99 años	2035	594,364343
Mujeres	48 Bizkaia	99 años	2034	608,129620
Mujeres	48 Bizkaia	99 años	2033	604,503088
Mujeres	48 Bizkaia	99 años	2032	596,874827
Mujeres	48 Bizkaia	99 años	2031	545,178632
Mujeres	48 Bizkaia	99 años	2030	518,140392
Mujeres	48 Bizkaia	99 años	2029	468,814877
Mujeres	48 Bizkaia	99 años	2028	434,216472
Mujeres	48 Bizkaia	99 años	2027	413,744126
Mujeres	48 Bizkaia	99 años	2026	378,389973
Mujeres	48 Bizkaia	99 años	2025	361,196672
Mujeres	48 Bizkaia	99 años	2024	328,686980
Mujeres	48 Bizkaia	99 años	2023	267,034505
Mujeres	48 Bizkaia	99 años	2022	262,294372
Mujeres	48 Bizkaia	100 y más años	2037	1.459,427014
Mujeres	48 Bizkaia	100 y más años	2036	1.367,892164
Mujeres	48 Bizkaia	100 y más años	2035	1.324,219878
Mujeres	48 Bizkaia	100 y más años	2034	1.256,585583
Mujeres	48 Bizkaia	100 y más años	2033	1.172,353822
Mujeres	48 Bizkaia	100 y más años	2032	1.068,171292
Mujeres	48 Bizkaia	100 y más años	2031	978,922981
Mujeres	48 Bizkaia	100 y más años	2030	885,434186
Mujeres	48 Bizkaia	100 y más años	2029	807,259234
Mujeres	48 Bizkaia	100 y más años	2028	735,518985
Mujeres	48 Bizkaia	100 y más años	2027	658,174727
Mujeres	48 Bizkaia	100 y más años	2026	586,625214
Mujeres	48 Bizkaia	100 y más años	2025	504,435468
Mujeres	48 Bizkaia	100 y más años	2024	420,726903
Mujeres	48 Bizkaia	100 y más años	2023	362,527482
Mujeres	48 Bizkaia	100 y más años	2022	300,291665
Mujeres	20 Gipuzkoa	Todas las edades	2037	381.381,505099
Mujeres	20 Gipuzkoa	Todas las edades	2036	381.230,262076
Mujeres	20 Gipuzkoa	Todas las edades	2035	381.003,851093
Mujeres	20 Gipuzkoa	Todas las edades	2034	380.654,600919
Mujeres	20 Gipuzkoa	Todas las edades	2033	380.159,900027
Mujeres	20 Gipuzkoa	Todas las edades	2032	379.525,554921
Mujeres	20 Gipuzkoa	Todas las edades	2031	378.747,358573
Mujeres	20 Gipuzkoa	Todas las edades	2030	377.828,780772
Mujeres	20 Gipuzkoa	Todas las edades	2029	376.761,094215
Mujeres	20 Gipuzkoa	Todas las edades	2028	375.563,628485
Mujeres	20 Gipuzkoa	Todas las edades	2027	374.252,760137
Mujeres	20 Gipuzkoa	Todas las edades	2026	372.837,793613
Mujeres	20 Gipuzkoa	Todas las edades	2025	371.343,739894
Mujeres	20 Gipuzkoa	Todas las edades	2024	369.805,066602
Mujeres	20 Gipuzkoa	Todas las edades	2023	368.235,676134
Mujeres	20 Gipuzkoa	Todas las edades	2022	366.793,484395
Mujeres	20 Gipuzkoa	65 años	2037	5.480,318183
Mujeres	20 Gipuzkoa	65 años	2036	5.363,430340
Mujeres	20 Gipuzkoa	65 años	2035	5.338,706550
Mujeres	20 Gipuzkoa	65 años	2034	5.252,556428
Mujeres	20 Gipuzkoa	65 años	2033	5.334,323426
Mujeres	20 Gipuzkoa	65 años	2032	5.351,774208
Mujeres	20 Gipuzkoa	65 años	2031	5.403,250422
Mujeres	20 Gipuzkoa	65 años	2030	5.519,491618
Mujeres	20 Gipuzkoa	65 años	2029	5.266,496477
Mujeres	20 Gipuzkoa	65 años	2028	5.141,285251
Mujeres	20 Gipuzkoa	65 años	2027	5.095,669742
Mujeres	20 Gipuzkoa	65 años	2026	5.178,057800
Mujeres	20 Gipuzkoa	65 años	2025	5.159,380786
Mujeres	20 Gipuzkoa	65 años	2024	4.998,764106
Mujeres	20 Gipuzkoa	65 años	2023	4.806,872320
Mujeres	20 Gipuzkoa	65 años	2022	4.660,086293
Mujeres	20 Gipuzkoa	66 años	2037	5.337,173431
Mujeres	20 Gipuzkoa	66 años	2036	5.313,143386
Mujeres	20 Gipuzkoa	66 años	2035	5.226,989668
Mujeres	20 Gipuzkoa	66 años	2034	5.308,586510
Mujeres	20 Gipuzkoa	66 años	2033	5.325,913138
Mujeres	20 Gipuzkoa	66 años	2032	5.376,731205
Mujeres	20 Gipuzkoa	66 años	2031	5.492,489124
Mujeres	20 Gipuzkoa	66 años	2030	5.239,793287
Mujeres	20 Gipuzkoa	66 años	2029	5.115,678490
Mujeres	20 Gipuzkoa	66 años	2028	5.070,429390
Mujeres	20 Gipuzkoa	66 años	2027	5.153,015319
Mujeres	20 Gipuzkoa	66 años	2026	5.134,247262
Mujeres	20 Gipuzkoa	66 años	2025	4.974,660600
Mujeres	20 Gipuzkoa	66 años	2024	4.784,514246
Mujeres	20 Gipuzkoa	66 años	2023	4.635,745813
Mujeres	20 Gipuzkoa	66 años	2022	4.519,119482
Mujeres	20 Gipuzkoa	67 años	2037	5.285,508730
Mujeres	20 Gipuzkoa	67 años	2036	5.199,388951
Mujeres	20 Gipuzkoa	67 años	2035	5.280,717397
Mujeres	20 Gipuzkoa	67 años	2034	5.297,835825
Mujeres	20 Gipuzkoa	67 años	2033	5.347,960187
Mujeres	20 Gipuzkoa	67 años	2032	5.463,140609
Mujeres	20 Gipuzkoa	67 años	2031	5.210,860100
Mujeres	20 Gipuzkoa	67 años	2030	5.087,782006
Mujeres	20 Gipuzkoa	67 años	2029	5.042,875337
Mujeres	20 Gipuzkoa	67 años	2028	5.125,533439
Mujeres	20 Gipuzkoa	67 años	2027	5.106,641909
Mujeres	20 Gipuzkoa	67 años	2026	4.948,097540
Mujeres	20 Gipuzkoa	67 años	2025	4.759,734906
Mujeres	20 Gipuzkoa	67 años	2024	4.612,020176
Mujeres	20 Gipuzkoa	67 años	2023	4.493,079195
Mujeres	20 Gipuzkoa	67 años	2022	4.425,229281
Mujeres	20 Gipuzkoa	68 años	2037	5.169,830851
Mujeres	20 Gipuzkoa	68 años	2036	5.250,864544
Mujeres	20 Gipuzkoa	68 años	2035	5.267,718522
Mujeres	20 Gipuzkoa	68 años	2034	5.317,117930
Mujeres	20 Gipuzkoa	68 años	2033	5.431,637938
Mujeres	20 Gipuzkoa	68 años	2032	5.179,872768
Mujeres	20 Gipuzkoa	68 años	2031	5.057,794037
Mujeres	20 Gipuzkoa	68 años	2030	5.013,186068
Mujeres	20 Gipuzkoa	68 años	2029	5.095,806069
Mujeres	20 Gipuzkoa	68 años	2028	5.076,766403
Mujeres	20 Gipuzkoa	68 años	2027	4.919,259615
Mujeres	20 Gipuzkoa	68 años	2026	4.732,674278
Mujeres	20 Gipuzkoa	68 años	2025	4.586,012916
Mujeres	20 Gipuzkoa	68 años	2024	4.467,655493
Mujeres	20 Gipuzkoa	68 años	2023	4.395,425549
Mujeres	20 Gipuzkoa	68 años	2022	4.386,627489
Mujeres	20 Gipuzkoa	69 años	2037	5.218,877053
Mujeres	20 Gipuzkoa	69 años	2036	5.235,488336
Mujeres	20 Gipuzkoa	69 años	2035	5.284,173518
Mujeres	20 Gipuzkoa	69 años	2034	5.397,968797
Mujeres	20 Gipuzkoa	69 años	2033	5.146,841221
Mujeres	20 Gipuzkoa	69 años	2032	5.025,755322
Mujeres	20 Gipuzkoa	69 años	2031	4.981,444444
Mujeres	20 Gipuzkoa	69 años	2030	5.063,925424
Mujeres	20 Gipuzkoa	69 años	2029	5.044,737892
Mujeres	20 Gipuzkoa	69 años	2028	4.888,302008
Mujeres	20 Gipuzkoa	69 años	2027	4.703,489251
Mujeres	20 Gipuzkoa	69 años	2026	4.557,859899
Mujeres	20 Gipuzkoa	69 años	2025	4.440,144895
Mujeres	20 Gipuzkoa	69 años	2024	4.366,693779
Mujeres	20 Gipuzkoa	69 años	2023	4.356,562761
Mujeres	20 Gipuzkoa	69 años	2022	4.379,296401
Mujeres	20 Gipuzkoa	70 años	2037	5.200,355224
Mujeres	20 Gipuzkoa	70 años	2036	5.248,347258
Mujeres	20 Gipuzkoa	70 años	2035	5.361,332690
Mujeres	20 Gipuzkoa	70 años	2034	5.110,970900
